__time,/joint_states/fanuc_m20ia_35m_joint1/position,/joint_states/fanuc_m20ia_35m_joint1/velocity,/joint_states/fanuc_m20ia_35m_joint2/position,/joint_states/fanuc_m20ia_35m_joint2/velocity,/joint_states/fanuc_m20ia_35m_joint3/position,/joint_states/fanuc_m20ia_35m_joint3/velocity,/joint_states/fanuc_m20ia_35m_joint4/position,/joint_states/fanuc_m20ia_35m_joint4/velocity,/joint_states/fanuc_m20ia_35m_joint5/position,/joint_states/fanuc_m20ia_35m_joint5/velocity,/joint_states/fanuc_m20ia_35m_joint6/position,/joint_states/fanuc_m20ia_35m_joint6/velocity,/joint_states/header/stamp,/joint_states/joint_world_to_slider/position,/joint_states/joint_world_to_slider/velocity
1707309220.483004,-0.000486524,0.168825318,-0.001582714,0.141099488,-0.000374409,-0.358680121,-0.001388060,-3.289910769,0.003901819,0.865369142,-0.000251808,2.529692947,9.881000000,-0.000579515,-0.056572360
1707309220.489475,-0.000304939,0.181585655,-0.001448436,0.134277923,-0.000678791,-0.304382213,-0.003503261,-2.115201782,0.004496492,0.594673121,0.001039638,1.291445629,9.882000000,-0.000636635,-0.057120535
1707309220.489890,0.000088637,0.196496789,-0.001315028,0.039143888,-0.000776810,0.050553634,-0.002303037,1.398391108,0.003990461,-0.564477257,-0.002188154,-2.419789916,9.884000000,-0.000748423,-0.054769541
1707309220.493121,0.000262685,0.174048420,-0.001325003,-0.009974341,-0.000548796,0.228014264,-0.000073643,2.229393892,0.002888222,-1.102238975,-0.005197550,-3.009396714,9.885000000,-0.000798411,-0.049988003
1707309220.497407,0.000409520,0.146834875,-0.001359990,-0.034987119,-0.000222406,0.326390237,0.002031932,2.105575616,0.001448079,-1.440143217,-0.007832942,-2.635391550,9.886000000,-0.000842597,-0.044186212
1707309220.498380,0.000609260,0.082161310,-0.001356935,0.027790714,0.000240676,0.154899737,0.000845544,-1.558146267,-0.001040209,-1.002440806,-0.006907759,1.584882252,9.888000000,-0.000910679,-0.030362422
1707309220.500077,0.000654357,0.045097157,-0.001261736,0.095198858,0.000196169,-0.044506645,-0.002703791,-3.549335272,-0.001443561,-0.403351838,-0.003011099,3.896660414,9.889000000,-0.000933250,-0.022570332
1707309220.504203,0.000658057,0.003699190,-0.001108966,0.152770520,-0.000005496,-0.201664899,-0.005911084,-3.207293454,-0.001354376,0.089184622,0.000891675,3.902773862,9.890000000,-0.000947442,-0.014192613
1707309220.504788,0.000638538,-0.019518801,-0.000922813,0.186152450,-0.000289652,-0.284156659,-0.007632119,-1.721034886,-0.000994260,0.360116465,0.003353385,2.461710618,9.891000000,-0.000954571,-0.007128831
1707309220.506080,0.000598121,-0.040416470,-0.000734261,0.188552550,-0.000564380,-0.274727305,-0.007542475,0.089643822,-0.000595248,0.399011205,0.004007545,0.654159298,9.892000000,-0.000954752,-0.000180499
1707309220.509353,0.000536192,-0.061929086,-0.000572943,0.161318074,-0.000742624,-0.178244526,-0.005523524,2.018951090,-0.000370286,0.224962136,0.002751241,-1.256303423,9.893000000,-0.000947971,0.006781014
1707309220.513410,0.000453612,-0.082580382,-0.000458563,0.114379862,-0.000767300,-0.024675244,-0.001498990,4.024533849,-0.000459574,-0.089287182,-0.000489358,-3.240599148,9.894000000,-0.000934450,0.013520994
1707309220.520281,0.000184520,-0.152047503,-0.000359940,0.033277512,-0.000421724,0.215640982,0.007268446,3.582433733,-0.001316179,-0.479900064,-0.006834749,-2.206417888,9.896000000,-0.000885189,0.028190113
1707309220.532321,0.000005237,-0.179282715,-0.000337828,0.022111863,-0.000185582,0.236141170,0.009153675,1.885228723,-0.001742846,-0.426666777,-0.007061405,-0.226655901,9.897000000,-0.000851134,0.034055029
